year,artist,title
2017,Davido,Fall
2017,Davido,If
2018,Burna Boy,Ye
2018,Wizkid,Soco
2019,CKay,Love Nwantiti
2019,Fireboy DML,What If I Say
2019,Joeboy,Baby
2020,Wizkid,Essence
2020,Tems,Free Mind
2020,Omah Lay,Godly
2021,Tems,Love Me JeJe
2021,Wizkid,Essence Remix
2021,Fireboy DML,Peru
2022,Rema,Calm Down
2022,Burna Boy,Last Last
2022,Asake,Sungba
2022,Davido,Champion Sound
2023,Rema,Charm
2023,Asake,Amapiano
2023,Davido,Unavailable
2023,Ayra Starr,Rush
2023,Burna Boy,City Boys
2024,Rema,Benin Boys
2024,Shallipopi,Laho
2024,Odumodublvck,The Money
2024,Tyla,Water
2024,Ayra Starr,Last Heartbreak Song
2025,Rema,Baby
2025,Davido,Funds
2025,Asake,Active
2025,Burna Boy,Update
2026,Rema,Love
2026,Ayra Starr,Gimme Love
2026,Shallipopi,Laho Remix
2018,Mr Eazi,Pour Me Water
2019,Burna Boy,On The Low
2020,Davido,FEM
2021,CKay,Love Nwantiti Remix
2022,Asake,Peace Be Unto You
2023,Tyla,Water
